,milo_f1-score,meld_f1-score,cna_f1-score,daseq_f1-score,rra_f1-score,milo_precision,meld_precision,cna_precision,daseq_precision,rra_precision,milo_recall,meld_recall,cna_recall,daseq_recall,rra_recall
pos0.8_neg0.2_cond1_3_remove_6.h5ad,0.8279101506335182,0.3917944277401711,0.6223384909180377,0.8760477199044504,0.9070263109120944,0.9504451919087339,0.6070364336786133,0.6014002565296245,0.9574338028666376,0.9005793738246021,0.754473457299822,0.6069637988860416,0.8478352356500096,0.8241754098952105,0.9137035320885616
pos0.8_neg0.2_cond1_3_remove_9.h5ad,0.7492073129055958,0.7504890641988062,0.5890377007448494,0.8008780716694294,0.8753879367286937,0.9407761924287531,0.7232637313122923,0.5689363153089307,0.9420762124323251,0.8543455890146109,0.6665672759768628,0.8702997205386805,0.8329728762362777,0.7418783559224954,0.8989212284446394
pos0.8_neg0.2_cond4_14_remove_0.h5ad,0.8399774714701654,0.7313542620103756,0.5012918845984063,0.9058576084125732,0.9236499663994843,0.960400698851223,0.703130957117593,0.479043135833013,0.9708446404967951,0.9101141506908611,0.768823117196393,0.9202314711053865,0.8884918236916398,0.8571257005134479,0.9421515479522604
pos0.8_neg0.2_cond4_14_remove_3.h5ad,0.832441127877945,0.7054824426252985,0.4618596775128166,0.8953989306372413,0.9154751658208556,0.9479216375357461,0.6618491216225008,0.4518593360977386,0.9669372860289926,0.8913532305603861,0.7576099152485298,0.9288838810044434,0.8817568956535063,0.8394159435542919,0.9457197415746835
pos0.8_neg0.2_cond4_14_remove_6.h5ad,0.7231237390828076,0.7217775890434589,0.42837148548159476,0.8773632920501417,0.8793907386006755,0.9375168713576766,0.6553382821180654,0.43125242255187324,0.9508590967026138,0.8495954257314565,0.6244954218610735,0.9454004367134788,0.8642146532699938,0.8220917341206104,0.9196194799522003
pos0.8_neg0.2_cond4_14_remove_9.h5ad,0.6215097711765288,0.7039818307785753,0.4037849812047309,0.7228189206514664,0.8441548162709941,0.9181666655767889,0.6692850868573729,0.4169014266999675,0.9499371526560481,0.7991082582460199,0.5290477138566105,0.9282362483827722,0.848584719317451,0.6221181834687178,0.9050878944897572
pos0.8_neg0.2_cond6_9_remove_0.h5ad,0.9355449612921768,0.932708594343936,0.5493831381139254,0.96363029463651,0.986996970289873,0.9897082034067141,0.8968442069383675,0.5025528252202408,0.996032367316087,0.9846072552753622,0.8935259430728841,0.9872203533866594,0.9073997859621733,0.9362335429479957,0.9894080007235994
pos0.8_neg0.2_cond6_9_remove_3.h5ad,0.9063813292366133,0.8837737111812715,0.5190955011334349,0.8929938884839016,0.9818455930545954,0.9902007113775227,0.8408687779303131,0.4832502211927203,0.9889495415548296,0.9741378881285021,0.8450616221595325,0.9765356799002389,0.8983519768867257,0.8282369667083507,0.9899370982899439
pos0.8_neg0.2_cond6_9_remove_6.h5ad,0.9068945956463947,0.8142440748901582,0.4942749601964905,0.9247269665858867,0.9797706076210675,0.9857316329773079,0.7751658810850116,0.46990338504170076,0.9896197158699599,0.9710721618763166,0.8476497545731333,0.9682668797799506,0.8886680608374092,0.874474847705418,0.988767712347909
pos0.8_neg0.2_cond6_9_remove_9.h5ad,0.7744445276848614,0.8030672304860524,0.47232134024332545,0.7248030556186178,0.9710221882230438,0.9820074721227399,0.764503646848418,0.45931020211143236,0.9816991484988623,0.9546298119122761,0.6846860474648614,0.9707938824532526,0.8796735664518277,0.6788386887540665,0.9885673497935409
pos0.9_neg0.1_cond0_11_remove_0.h5ad,0.9386576025562827,0.9031902914800477,0.46048222975669145,0.841240891007669,0.7910869341913248,0.9421988659554783,0.855707495729401,0.6770465315219131,0.793390905920068,0.7544214528523437,0.9355053311812963,0.9899536800557652,0.728059818325808,0.9770482070988252,0.9677386707691343
pos0.9_neg0.1_cond0_11_remove_3.h5ad,0.9304116894761405,0.9120894755067771,0.45760509651181414,0.9776316772403691,0.760049274554267,0.9155965807174266,0.8679426260932345,0.6794606277894126,0.9827421194643472,0.737903908804558,0.9492039396197103,0.9873877540079118,0.7233271990822177,0.9727020833095571,0.9500739481258167
pos0.9_neg0.1_cond0_11_remove_6.h5ad,0.9548029551603204,0.9190682257710581,0.46238202283476326,0.9732180818334167,0.7579704234416567,0.9523923430409913,0.8767843101294894,0.6807033472424292,0.96742231506022,0.7387430712467434,0.9578869948232405,0.9881939361399908,0.7244232175041908,0.979252687765468,0.9465822099895559
pos0.9_neg0.1_cond0_11_remove_9.h5ad,0.9373102905095961,0.9372065549408775,0.49550242042848813,0.9462758910238788,0.7837419414486639,0.9780766513796443,0.9008936995936804,0.6752238707491673,0.9233925336224978,0.7560091606467237,0.9051307924223954,0.9900945253305101,0.7465256230528045,0.9742886005078488,0.9508056904940956
pos0.9_neg0.1_cond1_2_remove_0.h5ad,0.9023843112313304,0.6980840862361902,0.7843565008506271,0.9390237491363741,0.9364548514029187,0.9444266580737372,0.7468884299966604,0.7416107150912089,0.9458408865542317,0.9425085276088789,0.8686733233840077,0.7960368763504734,0.8906696080297397,0.9332057210844381,0.9309163787989903
pos0.9_neg0.1_cond1_2_remove_3.h5ad,0.8865855687227224,0.7019119313807533,0.7626857046386597,0.9339626242644686,0.9246245996761401,0.9333653398849987,0.6851757920487831,0.7195919214573278,0.948815380999486,0.923244844105262,0.8500627944237363,0.8382348562102008,0.8787015755893214,0.9202738724336802,0.9260339734115378
pos0.9_neg0.1_cond1_2_remove_6.h5ad,0.8817824003305827,0.7436678914661919,0.7036450755460416,0.9033439173167173,0.9009066876945213,0.9246669203865373,0.7074043142092815,0.6687503387459118,0.8901235541953535,0.8861575101144851,0.8476638045065954,0.8637971439111426,0.8537438578564536,0.9194163660159437,0.9175464720721588
